epoch,acc,loss,val_acc,val_loss
1,0.6668666666984558,0.9274986909548442,0.7932,0.540651318359375
2,0.7796666666348775,0.5998479500134786,0.8217,0.47616463317871094
3,0.8069499999682108,0.5354699546019236,0.8361,0.43785787658691405
4,0.8239000000317891,0.4912333968480428,0.8518,0.40160531005859373
5,0.8363666666984558,0.46069323495229086,0.859,0.38250090942382814
6,0.8436166666984558,0.4400948032220205,0.8678,0.3719366516113281
7,0.8515999999682109,0.41525810503959654,0.8688,0.35689578552246093
8,0.8547333333015442,0.4045341370264689,0.8752,0.3390582183837891
9,0.8605500000317892,0.39180662296613056,0.8812,0.32937867736816406
10,0.8637333333333334,0.37837426538467406,0.882,0.3254835296630859
