epoch,acc,loss,val_acc,val_loss
1,0.7009833333333333,1.2537537909507752,0.7812,0.6131678283691406
2,0.7998333333015442,0.5506965413093566,0.8221,0.4794530059814453
3,0.8140333333651225,0.5130952376524608,0.8113,0.5331057739257813
4,0.8237499999682109,0.48209548091888427,0.8333,0.44873418579101565
5,0.8283166666348776,0.46608318179448444,0.8208,0.4897594757080078
6,0.8345500000317891,0.4527495867411296,0.8424,0.4496775329589844
7,0.8367833333651225,0.44172162709236146,0.8509,0.3998152099609375
8,0.8426166666348776,0.43075689681371054,0.7995,0.5082067840576172
9,0.8437333333651225,0.425227708419164,0.8612,0.38082492065429685
10,0.8449666666984558,0.4205046839396159,0.8557,0.41018575439453125
