epoch,acc,loss,val_acc,val_loss
1,0.49535,1.419251174513499,0.6959,0.8225519958496094
2,0.7158666666666667,0.7688565812428793,0.7421,0.6763599975585938
3,0.7522333333651224,0.6667593138376872,0.76,0.6384960021972657
4,0.7731999999682109,0.6150326291402181,0.7887,0.5595915771484375
5,0.7888666666666667,0.5773319415092468,0.7836,0.5688842529296875
6,0.7992499999682109,0.5499728978474935,0.8177,0.49794683532714845
7,0.8125666666348775,0.5230191403547922,0.8228,0.48519312438964846
8,0.8185333333651225,0.506869012928009,0.8194,0.49432557373046876
9,0.8245500000317891,0.4909659363269806,0.8335,0.46116102294921874
10,0.8303666666348776,0.47658185873031617,0.8356,0.4632634063720703
