epoch,acc,loss,val_acc,val_loss
1,0.09964999999602636,2.3043175078074136,0.145,2.2994537109375
2,0.09941666666269303,2.303268766784668,0.1529,2.2981404052734375
3,0.09933333334128062,2.3028661598205566,0.1629,2.2975164794921876
4,0.09973333332935969,2.302711640548706,0.1717,2.297180224609375
5,0.09963333333333334,2.302650926208496,0.1738,2.29694814453125
6,0.09834999999602635,2.3026294034322103,0.1706,2.296844677734375
7,0.09810000000397365,2.3026224857330324,0.1693,2.2967790283203127
8,0.09921666666467985,2.3026212787628175,0.1682,2.2967559326171876
9,0.09858333332935969,2.302616571044922,0.168,2.2967097412109374
10,0.09790000000397364,2.302621120707194,0.1678,2.2967078857421876
