epoch,acc,loss,val_acc,val_loss
1,0.15894999997615814,2.2658727979024254,0.1857,2.21255400390625
2,0.24093333342870077,2.1407145605723064,0.3627,1.9924945068359374
3,0.3568833333492279,1.8572872194925945,0.5318,1.55266220703125
4,0.4602500000635783,1.5065457871119181,0.6306,1.2000989624023437
5,0.5460333335240682,1.2569694140752157,0.661,1.0224528442382812
6,0.5934166669209798,1.1295930444081623,0.6857,0.9330727172851563
7,0.6263833331743877,1.0496287510553997,0.7005,0.8691334228515625
8,0.6455833330790202,0.9901857346216838,0.7093,0.8315616638183594
9,0.661983333047231,0.9496241548538208,0.7206,0.7898440795898437
10,0.6738166668574015,0.9102205860773722,0.7296,0.7596760803222656
