epoch,acc,loss,val_acc,val_loss
1,0.46926666666666667,1.5414445765813192,0.7366,0.7823250183105469
2,0.7071333333651225,0.816886763381958,0.7539,0.6290862487792969
3,0.7426500000317892,0.7004798344930013,0.7789,0.5654722473144531
4,0.7640500000317891,0.6402739289919536,0.7943,0.5256803314208984
5,0.7780333333333334,0.6015545360724132,0.8007,0.5029442901611328
6,0.7890833333015442,0.5719061830997467,0.8109,0.4799374481201172
7,0.7983333333333333,0.5505698365529378,0.8185,0.46769481201171875
8,0.80795,0.5289310824394227,0.8229,0.455987890625
9,0.8156833333015442,0.5111858819007874,0.8375,0.43589327392578125
10,0.8217500000317891,0.4971368288675944,0.8414,0.41993744201660155
