epoch,acc,loss,val_acc,val_loss
1,0.3579500000317891,1.8061866882324218,0.6985,1.0713661254882811
2,0.6428166666984558,0.9871302013715109,0.7424,0.7319414672851563
3,0.7009166666984558,0.8218932568868001,0.7601,0.6511131286621094
4,0.7229499999682109,0.7528753349304199,0.7672,0.6065101013183594
5,0.7366499999682109,0.7116316210110982,0.7751,0.5780359313964843
6,0.7436833333015442,0.6814087630907695,0.7823,0.5558368469238282
7,0.7536500000317892,0.6562883983929952,0.7883,0.5354067321777344
8,0.7625833333333333,0.6366028901100159,0.7975,0.5159943115234376
9,0.7664166666984558,0.6198870914141337,0.7992,0.5044811370849609
10,0.7713166666984558,0.6050931233406067,0.8025,0.49229449462890623
