epoch,acc,loss,val_acc,val_loss
1,0.44165000003178917,1.5521905010859172,0.7007,0.8595199096679688
2,0.67615,0.8932633177757263,0.7358,0.7063689208984375
3,0.7163666666984558,0.7748630822499593,0.7514,0.6432605285644531
4,0.7383666666984559,0.7112304958661397,0.7746,0.5944589172363282
5,0.7527499999682109,0.6739662981669108,0.793,0.550008740234375
6,0.7647000000317892,0.643839475886027,0.7974,0.5362152923583985
7,0.7744,0.620541623099645,0.8105,0.5172927947998047
8,0.7804666666348775,0.6043134089787802,0.807,0.5033987609863281
9,0.7890666666984558,0.5846733761787415,0.8191,0.4960740509033203
10,0.7941833333015442,0.5713957385698955,0.818,0.4846206237792969
