epoch,acc,loss,val_acc,val_loss
1,0.1596166665951411,2.2661503452301024,0.189,2.212631591796875
2,0.24493333319028218,2.1406927125295003,0.3679,1.9920239868164062
3,0.35543333320617676,1.8542316953659057,0.5538,1.5490451171875
4,0.46406666679382325,1.5021202163060505,0.6258,1.1976775634765624
5,0.5463500001907349,1.2599048674265543,0.6686,1.0222367065429687
6,0.5945166668256124,1.1274181151072185,0.6753,0.9374223266601562
7,0.6225166664759318,1.0506448455174764,0.6838,0.8815187683105469
8,0.6433666668256124,0.9947020564397177,0.7067,0.8280341125488281
9,0.6617333333969116,0.9497823234558106,0.7097,0.7986972290039063
10,0.67475,0.9154922798792521,0.7134,0.7692251220703125
