epoch,acc,loss,val_acc,val_loss
1,0.36905000003178917,1.7022646320343018,0.6208,1.0105196838378907
2,0.6063999999682108,1.048074513276418,0.652,0.8629734741210937
3,0.64725,0.9257663640340169,0.7036,0.7293703186035156
4,0.6691166666666667,0.8624699449857076,0.7294,0.7004761596679687
5,0.6863666666348776,0.8156022463798523,0.74,0.6714508666992187
6,0.6989833333651225,0.7819184345881144,0.7541,0.6405492797851563
7,0.7123333333015441,0.753930223496755,0.7617,0.6154991088867188
8,0.7209333333333333,0.7295302014350891,0.7607,0.6010772216796875
9,0.7329000000317891,0.7066611791928609,0.7661,0.5830660583496093
10,0.7401333333333333,0.6893676653862,0.7835,0.5634298217773438
